mem_id,user_id,mem_type,mem_start_date,mem_end_date,reminder_sent
1,1,Walk-in,2025-08-15,2025-09-16,0
2,2,Walk-in,2025-07-29,2025-08-29,0
3,3,Walk-in,2025-07-30,2025-08-30,0
4,4,Walk-in,2025-07-29,2025-08-29,0
5,5,Walk-in,2025-08-22,2025-09-22,0
6,6,Walk-in,2025-07-30,2025-08-30,0
7,7,Walk-in,2025-07-21,2025-08-21,0
8,8,Walk-in,2025-08-19,2025-09-19,0
9,9,Walk-in,2025-07-14,2025-08-14,0
10,10,Walk-in,0000-00-00,0000-00-00,0
11,11,Walk-in,2025-08-09,2025-09-09,1
12,12,Walk-in,2025-07-30,2025-08-30,0
13,13,Walk-in,2025-07-11,2025-08-11,0
14,14,Walk-in,2025-07-14,2025-08-14,0
15,15,Walk-in,2025-07-28,2025-08-30,0
16,16,Walk-in,2025-07-30,2025-08-30,0
17,17,Walk-in,2025-07-21,2025-08-21,0
18,18,Walk-in,2025-07-28,2025-08-30,0
19,19,Walk-in,2025-07-28,2025-08-28,0
20,20,Walk-in,2025-07-23,2025-08-30,0
21,21,Walk-in,2025-08-01,2025-09-01,0
22,22,Walk-in,2025-07-29,2025-08-30,0
23,23,Walk-in,2025-08-25,2025-09-25,0
24,24,Walk-in,2025-08-07,2025-09-12,0
25,25,Walk-in,2025-08-01,2025-09-01,0
26,26,Walk-in,2025-07-13,2025-09-13,0
27,27,Walk-in,2025-07-07,2025-08-07,0
28,28,Walk-in,2025-09-02,2025-10-02,0
29,29,Walk-in,2025-08-25,2025-09-30,0
30,30,Walk-in,2025-08-09,2025-09-09,1
31,31,Walk-in,2025-08-04,2025-09-04,0
32,32,Walk-in,2025-08-28,2025-09-28,0
33,33,Walk-in,2025-08-03,2025-09-03,0
34,34,Walk-in,2025-08-02,2025-09-02,0
35,35,Walk-in,2025-08-03,2025-09-03,0
36,36,Walk-in,2025-08-18,2025-09-18,0
37,37,Walk-in,2025-08-20,2025-09-20,0
38,38,Monthly,2025-01-01,2033-01-01,0
44,158,Walk-in,2025-09-04,2025-10-04,0
